Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Exit_Interview_Feedback,Internal_Transfer_Request,Avg_Overtime_Hours,Distance_From_Home_Km,Remote_Work_Frequency,Age
"Goeth, Amon",10228,1,1,1,1,3,3,0,74679,14,17,10,2135,1989-11-24,1,1,2,Yes,5,3/30/2015,11/4/2015,3,Active,2,Peter Monroe,7.0,LinkedIn,Fully Meets,4.3,5,7,1/10/2019,0,20,N/A - Still Employed,No request made,5.6,42.0,4,35
"Sadki, Nore  ",10260,0,0,1,5,5,3,0,46428,19,22,10,2148,2074-12-21,1,3,2,No,5,1/5/2009,7/30/2018,14,Voluntarily Terminated,3,Michael Albert,22.0,Google Search,Fully Meets,4.6,5,0,2/5/2018,0,7,Personal reasons related to family relocation.,Wants to move from Production to Admin for better hours.,10.3,37.9,0,-50
"Robertson, Peter",10224,1,1,1,5,5,3,0,55578,20,23,10,2138,2072-07-03,1,1,2,No,5,7/5/2011,2/8/2012,0,Voluntarily Terminated,3,Kissy Sullivan,20.0,Indeed,Fully Meets,4.2,5,0,1/6/2012,0,13,Felt the growth opportunities were limited in the current department.,No request made,10.3,28.6,0,-48
"Nguyen, Dheepa",10042,0,0,0,1,6,3,0,63695,3,2,6,30428,1989-03-31,0,3,2,No,4,7/8/2013,11/4/2015,3,Active,4,Lynn Daneault,21.0,Indeed,Fully Meets,5.0,5,0,1/25/2019,0,2,N/A - Still Employed,No request made,1.0,16.8,2,35
"Dunn, Amy  ",10105,0,0,0,1,5,3,0,75188,18,21,10,1731,2073-11-28,0,3,2,No,5,9/18/2014,11/4/2015,3,Active,3,Janet King,2.0,Google Search,Fully Meets,4.52,4,0,1/15/2019,0,4,N/A - Still Employed,No request made,12.8,9.6,0,-49
"Kampew, Donysha",10244,0,0,0,5,6,3,0,68999,21,24,20,19444,1989-11-11,0,3,2,No,5,11/7/2011,4/24/2014,8,Voluntarily Terminated,4,Debra Houlihan,15.0,Google Search,Fully Meets,4.5,5,0,3/30/2013,0,2,The workload was consistently exceeding 50 hours a week without recognition.,No request made,14.4,48.7,1,35
"Cross, Noah",10083,0,0,1,1,3,3,0,92329,28,31,4,6278,2065-09-09,1,3,2,No,5,11/10/2014,11/4/2015,3,Active,2,Peter Monroe,7.0,Employee Referral,Fully Meets,5.0,3,4,1/2/2019,0,5,N/A - Still Employed,No request made,0.6,5.0,3,-41
"Gray, Elijiah  ",10098,0,2,1,1,5,3,0,62957,18,21,10,1752,1981-07-11,1,0,2,No,5,6/2/2015,11/4/2015,3,Active,3,Janet King,2.0,Employee Referral,Fully Meets,4.63,3,0,1/4/2019,0,2,N/A - Still Employed,No request made,2.4,14.2,0,43
"Andreola, Colby",10194,0,0,0,1,4,3,0,95660,24,27,10,2110,1979-05-24,0,3,2,No,5,11/10/2014,11/4/2015,3,Active,5,Alex Sweetwater,10.0,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19,N/A - Still Employed,No request made,12.7,24.9,5,45
"Carthy, B'rigit",10076,0,0,0,1,5,3,0,55315,20,23,10,2149,1987-05-21,0,3,2,No,2,3/30/2015,11/4/2015,3,Active,3,Ketsia Liebig,19.0,LinkedIn,Fully Meets,5.0,5,0,2/7/2019,0,16,N/A - Still Employed,No request made,3.4,40.5,1,37
"Buccheri, Joseph  ",10184,0,0,1,1,5,3,0,65288,20,23,10,1013,1983-07-28,1,3,2,No,5,9/29/2014,11/4/2015,3,Active,3,Webster Butler,14.570957095709572,Google Search,Fully Meets,3.19,3,0,2/1/2019,0,9,N/A - Still Employed,Looking for a role with more client interaction.,0.7,20.8,0,41
"Billis, Helen",10003,1,1,0,1,5,4,0,62910,19,22,10,2031,1989-09-01,0,1,2,No,5,7/7/2014,11/4/2015,3,Active,3,Brannon Miller,12.0,Indeed,Exceeds,5.0,3,0,2/27/2019,0,19,N/A - Still Employed,No request made,5.1,30.2,1,35
"Stansfield, Norman",10307,1,1,1,1,6,1,0,58273,3,2,16,89139,2074-05-09,1,1,2,No,5,5/12/2014,11/4/2015,3,Active,4,Lynn Daneault,21.0,Website,PIP,1.81,2,0,1/17/2019,3,5,N/A - Still Employed,No request made,7.4,49.9,1,-50
"Cornett, Lisa ",10094,1,1,0,1,5,3,0,63381,19,22,10,2189,1977-03-31,0,1,2,Yes,5,1/5/2015,11/4/2015,3,Active,3,Kelley Spirea,18.0,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6,N/A - Still Employed,No request made,5.8,27.8,0,47
"Keatts, Kramer ",10192,0,0,1,1,5,3,0,50482,19,22,10,1887,1976-01-19,1,3,2,No,5,9/30/2013,11/4/2015,3,Active,3,Michael Albert,22.0,Indeed,Fully Meets,3.07,4,0,1/23/2019,0,10,N/A - Still Employed,Seeking a change in management style.,1.0,17.6,0,48
"Jacobi, Hannah  ",10236,0,2,0,1,5,3,0,45069,19,22,10,1778,2066-03-22,0,0,2,No,5,9/30/2013,11/4/2015,3,Active,3,Kissy Sullivan,20.0,Employee Referral,Fully Meets,4.3,5,0,2/22/2019,0,7,N/A - Still Employed,No request made,13.9,17.7,0,-42
"Osturnka, Adeel",10021,1,1,1,1,5,4,0,47414,19,22,10,2478,1976-12-11,1,1,2,No,5,9/30/2013,11/4/2015,3,Active,3,Kelley Spirea,18.0,LinkedIn,Exceeds,5.0,3,0,2/7/2019,0,13,N/A - Still Employed,No request made,5.8,2.3,0,48
"Theamstern, Sophia",10141,0,0,0,5,5,3,0,48413,19,22,10,2066,2065-05-09,0,3,2,No,5,7/5/2011,9/5/2016,16,Voluntarily Terminated,3,Amy Dunn,11.0,Indeed,Fully Meets,3.98,4,0,3/2/2016,0,1,Personal reasons related to family relocation.,No request made,11.1,3.0,0,-41
"Nguyen, Lei-Ming",10206,0,0,0,1,5,3,0,62061,19,22,10,2132,1984-07-07,0,3,2,No,5,7/8/2013,11/4/2015,3,Active,3,David Stanley,14.0,LinkedIn,Fully Meets,3.6,5,0,1/2/2019,0,4,N/A - Still Employed,No request made,12.0,10.0,0,40
"Johnson, Noelle ",10156,1,1,0,3,3,3,0,105700,8,9,10,2301,1986-11-07,0,1,2,No,1,1/5/2015,11/4/2015,3,Active,2,Simon Roup,4.0,Indeed,Fully Meets,3.75,3,5,2/11/2019,0,2,N/A - Still Employed,No request made,12.2,7.2,4,38
"Liebig, Ketsia",10017,1,1,0,1,5,4,0,77915,18,21,10,2110,1981-10-26,0,1,2,No,5,9/30/2013,11/4/2015,3,Active,3,Janet King,2.0,Website,Exceeds,4.1,3,0,1/21/2019,0,11,N/A - Still Employed,No request made,7.8,48.5,0,43
"Fernandes, Nilson  ",10308,1,1,1,1,5,1,0,64057,19,22,10,2132,1989-10-18,1,1,2,No,5,5/11/2015,11/4/2015,3,Active,3,Amy Dunn,11.0,Indeed,PIP,1.56,5,0,1/3/2019,6,15,N/A - Still Employed,No request made,0.7,17.1,1,35
