Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Exit_Interview_Feedback,Internal_Transfer_Request,Avg_Overtime_Hours,Distance_From_Home_Km,Remote_Work_Frequency,Age
"Cornett, Lisa ",10094,1,1,0,1,5,3,0,63381,19,22,10,2189,1977-03-31,0,1,2,Yes,5,1/5/2015,11/4/2015,3,Active,3,Kelley Spirea,18.0,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6,N/A - Still Employed,No request made,5.8,27.8,0,47
"Goeth, Amon",10228,1,1,1,1,3,3,0,74679,14,17,10,2135,1989-11-24,1,1,2,Yes,5,3/30/2015,11/4/2015,3,Active,2,Peter Monroe,7.0,LinkedIn,Fully Meets,4.3,5,7,1/10/2019,0,20,N/A - Still Employed,No request made,5.6,42.0,4,35
"Ybarra, Catherine ",10301,0,0,0,5,5,1,0,48513,19,22,10,2458,1982-05-04,0,3,2,No,1,9/2/2008,9/29/2015,0,Voluntarily Terminated,3,Brannon Miller,12.0,Google Search,PIP,3.2,2,0,9/2/2015,5,4,Personal reasons related to family relocation.,No request made,11.1,1.1,1,42
"Anderson, Linda  ",10002,0,0,0,1,5,4,0,57568,19,22,10,1844,1977-05-22,0,3,2,No,5,1/9/2012,11/4/2015,3,Active,3,Amy Dunn,11.0,LinkedIn,Exceeds,5.0,5,0,1/7/2019,0,15,N/A - Still Employed,Wants to move from Production to Admin for better hours.,12.4,31.7,0,47
"Rose, Ashley  ",10054,0,3,0,1,5,3,0,60627,19,22,10,1886,2074-12-05,0,2,2,No,5,1/6/2014,11/4/2015,3,Active,3,David Stanley,14.0,Website,Fully Meets,5.0,4,0,1/31/2019,0,8,N/A - Still Employed,No request made,9.2,41.8,0,40
"Daneault, Lynn",10099,0,0,0,1,6,3,0,65729,21,24,26,5473,1990-04-19,0,3,2,No,5,5/5/2014,11/4/2015,3,Active,4,Debra Houlihan,15.0,Indeed,Fully Meets,4.62,4,0,1/24/2019,0,8,N/A - Still Employed,No request made,4.2,31.5,3,34
"Sander, Kamrin",10169,1,1,0,1,5,3,0,56147,19,22,10,2154,1988-07-10,0,1,2,No,2,9/29/2014,11/4/2015,3,Active,3,Elijiah Gray,16.0,LinkedIn,Fully Meets,3.51,3,0,2/18/2019,0,2,N/A - Still Employed,Seeking a change in management style.,14.3,42.2,1,36
"Bernstein, Sean",10046,0,0,1,1,5,3,0,51044,19,22,10,2072,2070-12-22,1,3,2,Yes,5,4/2/2012,11/4/2015,3,Active,3,Amy Dunn,11.0,Google Search,Fully Meets,5.0,3,0,1/14/2019,0,13,N/A - Still Employed,No request made,0.9,4.6,0,40
"Becker, Scott",10277,0,0,1,3,5,3,0,53250,19,22,10,2452,1979-04-06,1,3,2,No,1,7/8/2013,11/4/2015,3,Active,3,Webster Butler,14.570957095709572,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,N/A - Still Employed,No request made,1.9,33.3,0,45
"Zhou, Julia",10043,0,0,0,1,3,3,0,89292,9,6,10,2148,1979-02-24,0,3,2,No,5,3/30/2015,11/4/2015,3,Active,2,Simon Roup,4.0,Employee Referral,Fully Meets,5.0,3,5,2/1/2019,0,11,N/A - Still Employed,No request made,8.9,12.9,2,45
"Soze, Keyser",10180,1,1,1,2,3,3,0,87565,28,31,10,1545,1983-02-09,1,1,2,No,1,6/30/2016,11/4/2015,3,Active,2,Peter Monroe,7.0,LinkedIn,Fully Meets,3.27,4,5,1/14/2019,0,13,N/A - Still Employed,No request made,6.2,47.8,2,41
"Adinolfi, Wilson  K",10026,0,0,1,1,5,4,0,62506,19,22,10,1960,1983-07-10,1,3,2,No,5,7/5/2011,11/4/2015,3,Active,3,Michael Albert,22.0,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1,N/A - Still Employed,No request made,6.7,23.8,1,41
"Gordon, David",10051,1,1,1,1,5,3,0,48285,19,22,10,2169,1979-05-21,1,1,2,No,5,7/2/2012,11/4/2015,3,Active,3,David Stanley,14.0,LinkedIn,Fully Meets,5.0,3,0,1/14/2019,0,2,N/A - Still Employed,No request made,0.9,24.0,0,45
