Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Exit_Interview_Feedback,Internal_Transfer_Request,Avg_Overtime_Hours,Distance_From_Home_Km,Remote_Work_Frequency,Age
"Adinolfi, Wilson  K",10026,0,0,1,1,5,4,0,62506.0,0,19,22,10,1960,1983-07-10,1,3,2,No,5,7/5/2011,11/4/2015,3.0,Active,3,Michael Albert,22.0,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1,N/A - Still Employed,No request made,6.7,23.8,1,41
"Ait Sidi, Karthikeyan",10084,1,1,1,5,3,3,0,104437.0,1,27,30,10,2148,2075-05-05,1,1,2,No,5,3/30/2015,6/16/2016,5.0,Voluntarily Terminated,2,Simon Roup,4.0,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17,Commute was becoming too taxing on my work-life balance.,No request made,10.5,33.0,5,40
"Akinkuolie, Sarah",10196,1,1,0,5,5,3,0,64955.0,1,20,23,10,1810,1988-09-19,0,1,2,No,5,7/5/2011,9/24/2012,7.0,Voluntarily Terminated,3,Kissy Sullivan,20.0,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3,Management style didn't align with my personal work ethics.,No request made,8.4,31.1,0,36
"Alagbe,Trina",10088,1,1,0,1,5,3,0,64991.0,0,19,22,10,1886,1988-09-27,0,1,2,No,5,1/7/2008,11/4/2015,3.0,Active,3,Elijiah Gray,16.0,Indeed,Fully Meets,4.84,5,0,1/3/2019,0,15,N/A - Still Employed,No request made,2.4,33.1,0,36
"Anderson, Carol",10069,0,2,0,5,5,3,0,50825.0,1,19,22,10,2169,1989-09-08,0,0,2,No,5,7/11/2011,9/6/2016,16.0,Voluntarily Terminated,3,Webster Butler,39.0,Google Search,Fully Meets,5.0,4,0,2/1/2016,0,2,Commute was becoming too taxing on my work-life balance.,No request made,0.3,41.8,0,35
"Anderson, Linda",10002,0,0,0,1,5,4,0,57568.0,0,19,22,10,1844,1977-05-22,0,3,2,No,5,1/9/2012,11/4/2015,3.0,Active,3,Amy Dunn,11.0,LinkedIn,Exceeds,5.0,5,0,1/7/2019,0,15,N/A - Still Employed,Wants to move from Production to Admin for better hours.,12.4,31.7,0,47
"Andreola, Colby",10194,0,0,0,1,4,3,0,95660.0,0,24,27,10,2110,1979-05-24,0,3,2,No,5,11/10/2014,11/4/2015,3.0,Active,5,Alex Sweetwater,10.0,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19,N/A - Still Employed,No request made,12.7,24.9,5,45
"Athwal, Sam",10062,0,4,1,1,5,3,0,59365.0,0,19,22,10,2199,1983-02-18,1,4,2,No,5,9/30/2013,11/4/2015,3.0,Active,3,Ketsia Liebig,19.0,Employee Referral,Fully Meets,5.0,4,0,2/25/2019,0,19,N/A - Still Employed,Looking for a role with more client interaction.,0.1,45.0,0,41
"Bachiochi, Linda",10114,0,0,0,3,5,3,1,47837.0,0,19,22,10,1902,2070-02-11,0,3,2,No,2,7/6/2009,11/4/2015,3.0,Active,3,Brannon Miller,12.0,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4,N/A - Still Employed,No request made,7.8,8.4,0,40
"Bacong, Alejandro",10250,0,2,1,1,3,3,0,50178.0,0,14,17,10,1886,1988-01-07,1,0,2,No,5,1/5/2015,11/4/2015,3.0,Active,2,Peter Monroe,7.0,Indeed,Fully Meets,5.0,5,6,2/18/2019,0,16,N/A - Still Employed,No request made,8.4,29.3,5,36
"Baczenski, Rachael",10252,1,1,0,5,5,3,1,54670.0,1,19,22,10,1902,2074-01-12,0,1,2,Yes,2,1/10/2011,1/12/2017,0.0,Voluntarily Terminated,3,David Stanley,14.0,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12,Personal reasons related to family relocation.,Wants to move from Production to Admin for better hours.,13.7,6.0,0,40
"Barbara, Thomas",10242,1,1,1,5,5,3,1,47211.0,1,19,22,10,2062,2074-02-21,1,1,2,Yes,2,4/2/2012,9/19/2016,17.0,Voluntarily Terminated,3,Kissy Sullivan,20.0,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2016,0,15,Felt the growth opportunities were limited in the current department.,No request made,7.3,17.7,0,40
